Date,restingHeartRate,lastSevenDaysAvgRestingHeartRate,totalSteps
2025-01-02,68.0,75.0,18956.0
2025-01-03,71.0,74.0,7202.0
2025-01-04,72.0,73.0,23912.0
2025-01-05,69.0,72.0,14972.0
2025-01-06,67.0,72.0,13088.0
2025-01-07,69.0,70.0,5150.0
2025-01-08,73.0,70.0,7868.0
2025-01-09,74.0,71.0,5062.0
2025-01-10,74.0,71.0,4484.0
2025-01-11,70.0,71.0,7712.0
2025-01-12,75.0,72.0,3800.0
2025-01-13,71.0,72.0,10104.0
2025-01-14,72.0,0.0,0.0
2025-01-15,72.0,0.0,1494.0
2025-01-16,72.0,0.0,17614.0
2025-01-17,72.0,0.0,3448.0
2025-01-18,77.0,74.0,18232.0
2025-01-19,75.0,74.0,5812.0
2025-01-20,72.0,75.0,4508.0
2025-01-21,74.0,75.0,4432.0
2025-01-22,78.0,75.0,4002.0
2025-01-23,74.0,75.0,3896.0
2025-01-24,82.0,76.0,4364.0
2025-01-25,73.0,75.0,21546.0
2025-01-26,79.0,76.0,3878.0
2025-01-27,75.0,76.0,18896.0
2025-01-28,80.0,77.0,5530.0
2025-01-29,76.0,77.0,4676.0
2025-01-30,74.0,77.0,2792.0
2025-01-31,70.0,75.0,18648.0
2025-02-01,75.0,76.0,3402.0
2025-02-02,67.0,74.0,21160.0
2025-02-03,72.0,0.0,6898.0
2025-02-04,72.0,0.0,19182.0
2025-02-05,72.0,0.0,11144.0
2025-02-06,72.0,0.0,3634.0
2025-02-07,72.0,0.0,19414.0
2025-02-08,72.0,0.0,21654.0
2025-02-09,72.0,0.0,4036.0
2025-02-10,72.0,0.0,5638.0
2025-02-11,72.0,0.0,6262.0
2025-02-12,72.0,0.0,4332.0
2025-02-13,72.0,0.0,2894.0
2025-02-14,72.0,0.0,4154.0
2025-02-15,72.0,0.0,4692.0
2025-02-16,72.0,0.0,5100.0
2025-02-17,72.0,0.0,5120.0
2025-02-18,72.0,0.0,4076.0
2025-02-19,72.0,0.0,2454.0
2025-02-20,72.0,0.0,11082.0
2025-02-21,72.0,0.0,9036.0
2025-02-22,72.0,0.0,4234.0
2025-02-23,72.0,0.0,4530.0
2025-02-24,72.0,0.0,14716.0
2025-02-25,72.0,0.0,4150.0
2025-02-26,72.0,0.0,10322.0
2025-02-27,72.0,0.0,8300.0
2025-02-28,72.0,0.0,7072.0
2025-03-01,77.0,77.0,6796.0
2025-03-02,70.0,74.0,4982.0
2025-03-03,72.0,73.0,5086.0
2025-03-04,70.0,72.0,3236.0
2025-03-05,74.0,73.0,3508.0
2025-03-06,71.0,72.0,4212.0
2025-03-07,68.0,72.0,3890.0
2025-03-08,80.0,72.0,10188.0
2025-03-09,76.0,73.0,30588.0
2025-03-10,72.0,73.0,31462.0
2025-03-11,75.0,74.0,16882.0
2025-03-12,69.0,73.0,21776.0
